occupations
orthopaedic footwear technician
braiding machine operator
construction painter
data warehouse designer
restoration technician
linen room attendant
animal artificial insemination technician
optical instrument assembler
kennel worker
actuarial assistant
pesticide mixer
ICT presales engineer
motor vehicle aftersales manager
plasma cutting machine operator
cutting machine operator
fossil fuel power plant operator
textile chemical quality technician
precision mechanics supervisor
welding engineer
lasting machine operator
anaesthetic technician
sauce production operator
biophysicist
wholesale merchant in household goods
import export manager in hardware plumbing and heating equipment and supplies
land based machinery supervisor
mine geologist
cigar brander
solderer
dental instrument assembler
hospitality vocational teacher
building caretaker
wearing apparel patternmaker
ammunition assembler
engraving machine operator
radiation protection technician
gambling betting and lottery game developer
consultant social worker
machinery assembly coordinator
choreographer
spark erosion machine operator
knitting textile technician
tiling supervisor
mergers and acquisitions analyst
fisheries deckhand
specialist nurse
construction scaffolder
paperhanger supervisor
ambassador
digital prototyper
masseur/masseuse
dry house attendant
domestic appliances shop manager
harpsichord maker
high rigger
media scientist
education welfare officer
translator
container equipment assembler
social service consultant
mechatronics assembler
video and motion picture director
credit adviser
toilet attendant
watch and clock repairer
horticulture worker
stage manager
baker
water treatment systems operator
science teacher secondary school
financial auditor
hotel concierge
chemical application specialist
event manager
medical goods shop manager
transport health and safety inspector
liquid waste treatment plant operator
footwear production machine operator
crop production manager
finishing textile technician
land based machinery operator
illustrator
wind energy engineer
fire service vehicle operator
stand in
nursing lecturer
snow clearing worker
geological engineer
mixed farmer
electrical equipment inspector
equipment engineer
tumbling machine operator
meteorologist
zoo curator
aerospace engineering drafter
industrial firefighter
tanner
leather goods hand cutting operator
marine electronics technician
disc jockey
fundraising assistant
sports equipment repair technician
ergonomist
grinding machine operator
automotive designer
publishing rights manager
online sales channel manager
special forces officer
production plant crane operator
electromechanical drafter
insurance rating analyst
water jet cutter operator
brew house operator
power lines supervisor
aircraft fuel system operator
dance teacher
animal handler
import export manager in flowers and plants
special educational needs assistant
locker room attendant
mobile crane operator
energy trader
sewerage cleaner
foster care support worker
auditing clerk
agricultural technician
leather goods quality manager
component engineer
heating ventilation air conditioning engineer
diplomat
vineyard machinery operator
maritime pilot
energy systems engineer
electromagnetic engineer
vessel assembly supervisor
archaeologist
relocation officer
harvest diver
on foot aquatic resources collector
business intelligence manager
automated cutting machine operator
labour relations officer
concrete finisher supervisor
sport administrator
vineyard supervisor
vehicle glazier
bed and breakfast operator
oil refinery control room operator
veneer slicer operator
manufacturing cost estimator
train preparer
colour sampling operator
gauger
promoter
promotion assistant
pest management worker
financial planner
public speaking coach
waterway construction labourer
textile dyeing technician
metal furniture machine operator
circus artist
electronic equipment inspector
green ICT consultant
typist
moulding machine operator
foreclosure specialist
activity leader
air separation plant operator
lacquer maker
mastering engineer
mine shift manager
energy conservation officer
flowers and plants distribution manager
furniture cleaner
imagesetter
interpreter
greaser
rotating equipment mechanic
educational counsellor
satellite engineer
tyre builder
computers computer peripheral equipment and software distribution manager
deep sea fishery worker
corporate investment banker
factory hand
rotating equipment engineer
election observer
staircase installer
refuse vehicle driver
medical device assembler
pharmaceutical goods distribution manager
diesel engine mechanic
library manager
leather goods manual operator
veterinary nurse
photonics engineering technician
electrical drafter
casting machine operator
printed circuit board test technician
cadastral technician
physiologist
data scientist
motorcycle instructor
fiberglass laminator
cloak room attendant
ship planner
park guide
actor/actress
leather wet processing department manager
navy officer
vehicle maintenance supervisor
bookmaker
dog trainer
pasta maker
confectionery specialised seller
industrial machinery mechanic
boat rigger
fact checker
newspaper editor
microsystem engineering technician
fisheries boatman
middle office analyst
chief ICT security officer
electronics engineering technician
rail logistics coordinator
marine cargo inspector
history teacher secondary school
chemical metallurgist
paper cutter operator
puppeteer
regional development policy officer
water quality analyst
alternative animal therapist
made up textile articles manufacturer
centrifuge operator
braiding textile technician
travel consultant
automotive test driver
aviation meteorologist
leather goods CAD patternmaker
soap chipper
live animals distribution manager
ice skating coach
purchaser
executive assistant
shepherd
rail construction supervisor
carpenter
chilling operator
dresser
pipeline pump operator
casting mould maker
construction engineer
textile machinery technician
shotfirer
marine engineering drafter
fish crustaceans and molluscs distribution manager
optical instrument repairer
police commissioner
child welfare worker
commodity broker
bakery shop manager
textile machine operator
dog breeder
sewer construction supervisor
health and safety inspector
footwear quality controller
classical languages teacher secondary school
deputy head teacher
cashier
instrumentation engineering technician
meter reader
heat sealing machine operator
rental service representative in personal and household goods
enterprise architect
clothing technologist
vessel steering instructor
further education principal
botanical technician
social security inspector
commercial art gallery manager
carriage driver
leather measuring operator
boiler operator
audio production technician
toys and games shop manager
machine operator supervisor
insurance collector
commercial director
spa attendant
technical sales representative in agricultural machinery and equipment
coppersmith
wine sommelier
frame maker
acupuncturist
wholesale merchant in electronic and telecommunications equipment and parts
academic support officer
animal welfare inspector
boatswain
aquaculture cage mooring worker
lift installation supervisor
biomedical scientist
bakery specialised seller
construction scaffolding supervisor
sales account manager
tunnel kiln operator
mobile application developer
wearing apparel presser
wholesale merchant in fish crustaceans and molluscs
communication infrastructure maintainer
book restorer
food production engineer
lighting director
warehouse manager
bartender
bingo caller
aviation communications and frequency coordination manager
asphalt plant operator
screw machine operator
pipe welder
bank teller
business lecturer
maternity support worker
life guard
engineered wood board grader
oilseed presser
building cleaner
pneumatic engineering technician
medical device engineering technician
earth science lecturer
costume attendant
raw materials warehouse specialist
civil drafter
animation director
quality engineer
call centre analyst
nitrator operator
financial manager
distillation operator
wave soldering machine operator
leather production manager
security guard
legal consultant
animal embryo transfer technician
biology technician
medium
leather goods warehouse operator
import export specialist in wood and construction materials
aquaculture cage technician
import export specialist in agricultural raw materials seeds and animal feeds
environmental mining engineer
sugar refinery operator
construction quality manager
utilities inspector
picture archiving and communication systems administrator
equine dental technician
credit manager
printing textile technician
prison officer
bicycle mechanic
building electrician
monk/nun
import export specialist in meat and meat products
occupational therapist
beauty salon manager
digital games tester
food analyst
fisheries refrigeration engineer
child care worker
tufting operator
automotive engineering drafter
front line medical receptionist
university department head
cocoa press operator
soap drier operator
jewellery designer
set builder
slaughterer
pipeline environmental project manager
man made fiber spinner
movie distributor
window installer
supreme court judge
ICT intelligent systems designer
online marketer
knitter
pulp grader
chemical engineering technician
venue programmer
wood technology engineer
optoelectronic engineer
wholesale merchant in computers computer peripheral equipment and software
religious education teacher secondary school
intelligence communications interceptor
visual merchandiser
radio technician
chocolatier
financial markets back office administrator
sound editor
advanced nurse practitioner
architectural drafter
stop motion animator
driller
coffee roaster
leather goods quality controller
paper pulp moulding operator
fruit and vegetable picker
security guard supervisor
artistic painter
jewellery engraver
starch converting operator
information manager
purchasing manager
gaming inspector
library assistant
food service vocational teacher
butcher
machinery assembly supervisor
china and glassware distribution manager
clothing quality inspector
mechanical engineering drafter
competition policy officer
car leasing agent
marine surveyor
police detective
sport official
computer hardware engineering technician
investment adviser
amusement park cleaner
rental service representative
economic policy officer
sport therapist
forwarding manager
pet and pet food specialised seller
attraction operator
import export specialist in fruit and vegetables
licensing officer
occupational driving instructor
soap maker
community development officer
trolley bus driver
audiology equipment specialised seller
ordinary seaman
trade regional manager
glass engraver
social work practice educator
plodder operator
automated optical inspection operator
metal sawing machine operator
building materials shop manager
bicycle courier
wholesale merchant
tourism contract negotiator
import export specialist in hardware plumbing and heating equipment
social work researcher
clothing operations manager
fisheries adviser
gerontology social worker
football coach
kettle tender
vehicle maintenance attendant
video and motion picture producer
stock trader
Steiner school teacher
wood sander
abrasive blasting operator
fish and seafood shop manager
business service manager
musical instrument technician
air traffic controller
veterinary medicine lecturer
cellar operator
model maker
hotel porter
vehicle rental agent
telecommunications manager
heating ventilation air conditioning and refrigeration engineering technician
criminal investigator
learning mentor
database integrator
import export specialist in beverages
music therapist
dentistry lecturer
coffee taster
laundry ironer
airport baggage handler
leather production machine operator
research engineer
business administration vocational teacher
climatologist
bathroom fitter
leather goods machine operator
corporate treasurer
political campaign officer
electrical equipment assembler
incinerator operator
Pilates teacher
ICT technician
sports coach
stone planer
wholesale merchant in hides skins and leather products
mortgage broker
import export specialist in flowers and plants
lottery cashier
rail project engineer
construction safety manager
court administrator
rolling stock engineering drafter
child day care worker
toxicologist
drilling engineer
humanitarian advisor
footwear CAD patternmaker
computer games multimedia and software specialised seller
sewerage maintenance technician
mediator
government minister
production supervisor
explosives engineer
body artist
bleacher operator
network marketer
decorative painter
ceiling installer
fuel station specialised seller
derrickhand
corrosion technician
product development engineering technician
marine upholsterer
destination manager
underground heavy equipment operator
grader operator
employment agent
import export manager in perfume and cosmetics
scopist
solar energy engineer
rolling stock inspector
drawing artist
chimney sweep supervisor
import export manager in coffee tea cocoa and spices
planer thicknesser operator
optical instrument production supervisor
road roller operator
dairy products maker
hydrographic surveyor
auger press operator
healthcare inspector
battery test technician
doorman/doorwoman
behavioural scientist
automotive engineering technician
land planner
glass polisher
agricultural raw materials seeds and animal feeds distribution manager
wood drying kiln operator
laundry and dry cleaning manager
budget manager
airside safety manager
cargo vehicle driver
music arranger
dewatering technician
ICT capacity planner
metallurgical manager
farm manager
air traffic instructor
plastic and rubber products manufacturing supervisor
ICT application configurator
digital literacy teacher
credit union manager
leather goods quality control laboratory technician
drain technician
electricity and energy vocational teacher
herbal therapist
audio and video equipment shop manager
bus driving instructor
well digger
photography teacher
industrial arts vocational teacher
civil engineering worker
helicopter pilot
swimming facility attendant
marketeer
advertising media buyer
journalism lecturer
gas processing plant control room operator
jewellery and watches shop manager
dredge operator
liquid fuel engineer
performance rental technician
marketing assistant
photojournalist
edge bander operator
wholesale merchant in pharmaceutical goods
language engineer
hospitality entertainment manager
pedicurist
halal butcher
animator
yarn spinner
communications lecturer
ATM repair technician
electrician
gambling betting and lottery quality assurance engineer
wood and construction materials distribution manager
make up artist
property insurance underwriter
oenologist
sommelier
bindery operator
lexicographer
lottery manager
freight transport dispatcher
chiropractor
drawing kiln operator
quick service restaurant team leader
technical sales representative in hardware plumbing and heating equipment
surface grinding machine operator
surface miner
sole and heel operator
healthcare institution manager
insulating tube winder
materials engineer
tax compliance officer
army corporal
anatomical pathology technician
plastic heat treatment equipment operator
horse trainer
vehicle technician
second hand goods specialised seller
membership manager
social worker
furniture specialised seller
environmental protection manager
ICT business analysis manager
print studio supervisor
paper machine operator
cylindrical grinder operator
food technologist
non vessel operating common carrier
oceanographer
leather laboratory technician
securities trader
youth offending team worker
aeronautical information service officer
fire prevention and protection engineer
airport chief executive
book editor
import export manager in office furniture
benefits advice worker
electricity sales representative
investor relations manager
winding machine operator
family support worker
fire protection technician
intelligence officer
street warden
foreign correspondent
underground miner
official veterinarian
3D printing technician
boom operator
early years teaching assistant
electronics engineer
production designer
agricultural engineer
beauty vocational teacher
social security officer
residential childcare worker
aviation ground systems engineer
computer and accessories specialised seller
assistant outdoor animator
barber
packing machinery engineer
big data archive librarian
budget analyst
rental service representative in water transport equipment
architecture lecturer
road operations manager
travel and tourism vocational teacher
advertising manager
public funding advisor
scenic painter
recycling worker
housing support worker
community artist
process metallurgist
podiatry assistant
hardwood floor layer
casting director
strategic planning manager
sensor engineer
educational psychologist
filing machine operator
paper embosing press operator
political scientist
social work assistant
aquaculture harvesting manager
scientific laboratory technician
industrial robot controller
prosthetic orthotics technician
cooper
injection moulding operator
street sweeper
freight inspector
residential home older adult care worker
business valuer
pesticides sprayer
debt collector
ICT accessibility tester
stage machinist
fiscal affairs policy officer
railway infrastructure inspector
mail clerk
leather goods patternmaker
sewing machinist
textile operations manager
electromechanical engineering technician
fruit and vegetables specialised seller
logistics analyst
vlogger
audiology technician
landscape architect
airline transport pilot
commercial pilot
child care coordinator
metal furnace operator
textile specialised seller
survival instructor
producer
surface mount technology machine operator
metals and metal ores distribution manager
ICT system tester
psychologist
3D animator
technical sales representative in mining and construction machinery
mouldmaker
canvas goods assembler
irrigation technician
process engineering technician
pre stitching machine operator
pneumatic systems technician
industrial pharmacist
accommodation manager
industrial engineer
leather goods stitching machine operator
secondary school head teacher
textiles textile semi finished and raw materials distribution manager
head waiter/head waitress
fine arts instructor
business manager
water treatment plant manager
specialised seller
advertising assistant
prepress technician
textile chemist
hydrologist
robotics engineer
cacao beans cleaner
military engineer
gas transmission system operator
dressmaker
pharmacy lecturer
outdoor activities instructor
education administrator
lawyer linguist
early years teacher
botanist
hairdresser assistant
rental service representative in office machinery and equipment
pipeline route manager
stone engraver
sailor
eyewear and optical equipment specialised seller
economic adviser
post production supervisor
international forwarding operations coordinator
physics teacher secondary school
social counsellor
dramaturge
sheet metal worker
equine yard manager
analytical chemist
hardware and paint shop manager
meat and meat products shop manager
civil registrar
automation engineering technician
mechanical engineer
police officer
concrete pump operator
astronomer
clinical perfusion scientist
pipeline engineer
embedded systems software developer
ICT business development manager
metal annealer
dismantling supervisor
call centre quality auditor
eBusiness manager
verger
installation engineer
wholesale merchant in meat and meat products
electric power generation engineer
artistic coach
steward/stewardess
antique furniture reproducer
aviation data communications manager
electronics and automation vocational teacher
firework assembler
insurance agency manager
aquaculture production manager
environmental programme coordinator
forge equipment technician
plastic products assembler
physics lecturer
spinning machine operator
tutor
tax advisor
sign language teacher
house builder
pyrotechnician
footwear production technician
cylinder filler
scenery technician
shunter
educational researcher
wholesale merchant in dairy products and edible oils
furniture restorer
naval architect
construction commercial diver
lifeguard instructor
intellectual property consultant
speechwriter
animal groomer
mental health support worker
coachbuilder
secretary
university research assistant
fruit production team leader
moulding machine technician
chemical mixer
music teacher secondary school
import export manager in wood and construction materials
textile printer
tour organiser
distillery supervisor
member of parliament
animal physiotherapist
rubber cutting machine tender
computer numerical control machine operator
mine supervisor
sales support assistant
kiln firer
secretary general
garage manager
import export manager in metals and metal ores
public housing manager
electrical mechanic
career guidance advisor
weaving machine supervisor
oxy fuel burning machine operator
tool pusher
medical transcriptionist
legal policy officer
drug and alcohol addiction counsellor
baking operator
domestic electrician
make up and hair designer
industrial electrician
court bailiff
toymaker
bank account manager
debarker operator
financial controller
boilermaker
phlebotomist
secondary school teacher
nuclear medicine radiographer
customs officer
genealogist
ICT usability tester
pottery and porcelain caster
road construction worker
pet and pet food shop manager
leaf sorter
plate glass installer
hospital pharmacist
ICT documentation manager
mine development engineer
biology lecturer
cultural policy officer
leaflet distributor
music producer
business analyst
rental service representative in air transport equipment
art handler
antique shop manager
education studies lecturer
cultural facilities manager
flight test engineer
stamping press operator
financial trader
water conservation technician supervisor
librarian
healthcare consultant
stone driller
ticket issuing clerk
geneticist
maintenance and repair engineer
homeopath
digital printer
ride technician
jeweller
tobacco products distribution manager
import export specialist
product quality inspector
street performer
taxi controller
games development manager
clinical coder
import export specialist in office furniture
zoo section leader
drill operator
special educational needs itinerant teacher
food production planner
surveying technician
clothing and footwear distribution manager
bridge inspector
immigration officer
swimming teacher
computer aided design operator
mineral processing engineer
clarifier
lathe and turning machine operator
pawnbroker
sensor engineering technician
distribution manager
hydrogeologist
data entry clerk
import export manager in watches and jewellery
beverages specialised seller
manufacturing manager
government planning inspector
import export specialist in household goods
helmsman
footwear production manager
glass blower
rescue centre manager
blender operator
ICT network technician
policy manager
emergency ambulance driver
wholesale merchant in machinery industrial equipment ships and aircraft
textile quality manager
prison instructor
synthetic materials engineer
electronic equipment assembler
bus route supervisor
colour sampling technician
singer
venture capitalist
guide dog instructor
envelope maker
livestock worker
import export manager in dairy products and edible oils
employment programme coordinator
equine worker
wholesale merchant in furniture carpets and lighting equipment
floor and wall coverings shop manager
pastoral worker
art studies lecturer
photographer
automotive electrician
wedding planner
residential home young people care worker
ombudsman
hydrographic surveying technician
metal nibbling operator
chiropractic assistant
mineral processing operator
roofing supervisor
market research analyst
pensions administrator
cacao bean roaster
precious stone setter
occupational health and safety inspector
watches and jewellery distribution manager
jewellery assembler
outdoor animator
honey extractor
manufacturing facility manager
manufacturing engineer
textile product developer
clay kiln burner
emergency medical dispatcher
higher education lecturer
consumer goods inspector
dietetic technician
bioinformatics scientist
occupational railway instructor
aquaculture biologist
food biotechnologist
computer software and multimedia shop manager
exhibition curator
structural ironworker
forestry equipment operator
graphic designer
railway car upholsterer
aircraft groomer
airport environment officer
oil mill operator
motor vehicles specialised seller
clinical social worker
ship steward/ship stewardess
business consultant
soil scientist
construction painting supervisor
homelessness worker
post office counter clerk
probation officer
call centre supervisor
camping ground manager
further education teacher
astrologer
police trainer
fisheries assistant engineer
immigration policy officer
director of photography
wholesale merchant in sugar chocolate and sugar confectionery
fish trimmer
chief executive officer
forestry inspector
office clerk
public relations manager
V belt finisher
communication scientist
tourism product manager
ship duty engineer
mayor
event scaffolder
occupational analyst
glass painter
construction safety inspector
religion scientific researcher
domestic housekeeper
brazier
textile colourist
solar power plant operator
knitting machine operator
correctional services manager
metal rolling mill operator
biochemist
optician
footwear stitching machine operator
carbonation operator
vacuum forming machine operator
admissions coordinator
outdoor activities coordinator
juvenile correctional officer
technical sales representative in electronic and telecommunications equipment
numerical tool and process control programmer
office manager
wholesale merchant in textile industry machinery
night auditor
aircraft dispatcher
import export manager in textiles and textile semi finished and raw materials
photography shop manager
ICT research consultant
road sign installer
biogas technician
paper mill supervisor
sewerage network operative
taxi driver
recreation model maker
nonwoven staple machine operator
wholesale merchant in coffee tea cocoa and spices
design engineer
marketing manager
fruit and vegetable preserver
camera operator
odds compiler
sterile services technician
textile leather and footwear researcher
cattle pedicure
overhead line worker
blanching operator
data quality specialist
fish canning operator
sports journalist
wood fuel pelletiser
ground steward/ground stewardess
agricultural inspector
photographic developer
assistant video and motion picture director
battery assembler
paper stationery machine operator
building materials specialised seller
store detective
dredging supervisor
general practitioner
shoe and leather accessories specialised seller
city councillor
fruit press operator
power production plant operator
hair removal technician
client relations manager
heating engineer
mathematician
personal trust officer
froth flotation deinking operator
emergency response coordinator
picture editor
visual arts teacher
leather goods artisanal worker
specialised goods distribution manager
import export specialist in sugar chocolate and sugar confectionery
instrument technician
malt kiln operator
room attendant
ICT integration tester
embroiderer
paper bag machine operator
sales processor
laser marking machine operator
medical laboratory technology vocational teacher
steam plant operator
hospital social worker
insurance product manager
precious stone cutter
fruit and vegetables distribution manager
senator
research and development manager
rubber goods assembler
inland water transport general manager
sewer construction worker
interior designer
electrical power distributor
lacquer spray gun operator
textile process controller
domestic butler
dangerous goods safety adviser
product assembly inspector
aromatherapist
bank manager
conservator
rail maintenance technician
petroleum engineer
graphologist
crisis situation social worker
solar energy technician
railway electronic technician
pipeline maintenance worker
furniture shop manager
clothing CAD patternmaker
radiographer
weight loss consultant
audio visual technician
wire weaving machine operator
court jury coordinator
motorcycle assembler
artillery officer
ICT auditor manager
Montessori school teacher
commissioning engineer
dental technician
variety artist
ethical hacker
jewellery mounter
orthoptist
recreational facilities manager
private detective
passenger fare controller
fibreglass machine operator
cosmetics and perfume specialised seller
forest worker
interior planner
nuclear technician
ICT security manager
snowboard instructor
photonics engineer
regulatory affairs manager
wooden furniture machine operator
thread rolling machine operator
electromechanical engineer
fashion designer
reprographics technician
international relations officer
desktop publisher
capsule filling machine operator
robotics engineering technician
market research interviewer
finished leather warehouse manager
motor vehicle parts assembler
pipeline superintendent
health and safety officer
wholesale merchant in waste and scrap
dance therapist
public finance accountant
extract mixer tester
school bus attendant
performing arts school dance instructor
residential home adult care worker
road marker
sound designer
fruit and vegetables shop manager
secondary school teaching assistant
heating ventilation air conditioning (and refrigeration) service engineer
travel agent
tooling engineer
licensing manager
tunnel boring machine operator
prop maker
director of compliance and information security in gambling
recycling specialist
financial risk analyst
welder
groundwater monitoring technician
refinery shift manager
chief technology officer
sports programme coordinator
pharmacy technician
legislative drafter
respiratory therapy technician
mine planning engineer
gas distribution engineer
insurance risk consultant
video artist
leather goods quality technician
pharmacist
road construction supervisor
rolling stock engineer
pump operator
zoo educator
mine control room operator
glove maker
vehicle cleaner
distillery miller
electrical transmission system operator
animal shelter worker
diagnostic radiographer
head of workshop
sewing machine operator
aircraft gas turbine engine overhaul technician
interpretation agency manager
food safety inspector
metalworking lathe operator
leather finishing operator
import export manager in computers computer peripheral equipment and software
polygraph examiner
animal behaviourist
metal production supervisor
beverage filtration technician
composer
psychology lecturer
department store manager
wood boring machine operator
door supervisor
meat preparations operator
real estate investor
wood products assembler
postman/postwoman
hydropower technician
music and video shop manager
broadcasting programme director
microsystem engineer
physicist
usher
book sewing machine operator
aircraft marshaller
water plant technician
gravure press operator
wholesale merchant in office machinery and equipment
hides skins and leather products distribution manager
speech and language therapist
wholesale merchant in watches and jewellery
printmaker
aquaculture rearing technician
dryer attendant
poultry sexer
co pilot
assayer
materials handler
import export specialist in live animals
traditional chinese medicine therapist
rolling stock engine tester
business studies and economics teacher secondary school
nature conservation officer
leather raw materials purchasing manager
art teacher secondary school
jewellery and watches specialised seller
ICT information and knowledge manager
fluid power engineer
ski instructor
knowledge engineer
residential care home worker
kitchen and bathroom shop manager
ICT network administrator
milk reception operator
aircraft maintenance engineer
chemical plant manager
train driver
vocational teacher
fertiliser mixer
hospitality establishment receptionist
airport maintenance technician
logistics and distribution manager
terrazzo setter supervisor
sport facility manager
toys and games specialised seller
auxiliary nursing and midwifery vocational teacher
occupational therapy assistant
non destructive testing specialist
hair stylist
palaeontologist
guitar maker
chief information officer
election agent
electronics production supervisor
car driving instructor
translation agency manager
tool grinder
contract engineer
engine minder
rolling stock assembler
import export specialist in computers peripheral equipment and software
family planning counsellor
fish production operator
news anchor
rolling stock engine inspector
gate guard
aquatic animal health professional
cost analyst
event assistant
clothing CAD technician
soil surveying technician
pet sitter
plastic furniture machine operator
prepared meat operator
import export manager in mining construction and civil engineering machinery
stunt performer
tax clerk
sales engineer
armed forces training and education officer
community care case worker
funeral services director
textile technologist
textile quality inspector
sensory scientist
deburring machine operator
sawmill operator
user interface developer
automated assembly line operator
mineralogist
roustabout
warfare specialist
electrical engineer
concrete products machine operator
mountain guide
domestic appliances specialised seller
chemical products distribution manager
set designer
carpenter supervisor
chemistry technician
clothing finisher
dairy products manufacturing worker
nurse assistant
betting manager
light board operator
ammunition shop manager
human rights officer
parking valet
textile dyer
marine mechanic
electrical supervisor
wash deinking operator
firefighter
miniature set designer
music instructor
vessel engine assembler
filament winding operator
leisure attendant
clay products dry kiln operator
water traffic coordinator
import export manager in electronic and telecommunications equipment and parts
doll maker
import export specialist in watches and jewellery
grants management officer
gas production engineer
fitter and turner
location manager
geography teacher secondary school
septic tank servicer
ICT account manager
ecologist
goldsmith
footwear quality technician
securities underwriter
private pilot
stage director
dietitian
chromatographer
food and beverage packaging technologist
landfill supervisor
shipwright
space science lecturer
defence administration officer
paint mixer
metal engraver
vineyard manager
motor vehicle engine inspector
ICT project manager
pipeline compliance coordinator
power tool repair technician
carpet handicraft worker
blow moulding machine operator
plastic rolling machine operator
orthopaedic supply shop manager
industrial tool design engineer
shipping agent
copy editor
Freinet school teacher
political affairs officer
wholesale merchant in agricultural raw materials seeds and animal feeds
import export manager in office machinery and equipment
microelectronics engineer
architect
database administrator
tent installer
medical practice manager
aviation surveillance and code coordination manager
technical communicator
tourist animator
management assistant
ground lighting officer
belt builder
biology teacher secondary school
upsetting machine operator
nurse responsible for general care
precast moulder
automotive engineer
armoured car driver
financial analyst
social care worker
roughneck
database designer
specialist pharmacist
rental service representative in construction and civil engineering machinery
packaging production manager
loan officer
horticulture production team leader
stock broker
real estate agent
V belt builder
pastry chef
exhibition registrar
leather goods finishing operator
laminating machine operator
coking furnace operator
orthopaedic supplies specialised seller
move manager
automated cable vehicle controller
crowd controller
electrolytic cell maker
intercultural communication consultant
victim support officer
transport technology vocational teacher
cook
aircraft maintenance technician
starch extraction operator
import export specialist in agricultural machinery and equipment
agriculture forestry and fishery vocational teacher
leather goods industrial engineer
printed circuit board designer
social work lecturer
rail intermodal equipment operator
clothing cutter
prosthetist orthotist
legal assistant
camping ground operative
computer hardware engineer
waiting list coordinator
window cleaner
